epoch,train_loss,train_acc,valid_loss,valid_acc,lr,time_sec
1,2.436041,69.2685,1.778351,82.5954,0.001,80.81
2,1.521567,89.6496,1.45926,91.374,0.0009972636867364526,59.77
3,1.380043,93.1984,1.499665,89.8473,0.000989084726566536,60.33
4,1.293007,95.3054,1.329635,93.855,0.0009755527298894295,59.84
5,1.233485,96.6335,1.320711,94.2366,0.0009568159560924792,60.07
6,1.188501,97.6432,1.270118,95.229,0.0009330796891903274,59.8
7,1.16002,98.1558,1.243353,95.5344,0.0009046039886902865,60.16
8,1.1354,98.5251,1.218856,96.2214,0.0008717008403259585,59.96
9,1.111128,99.0045,1.234251,96.0687,0.0008347307378762498,60.26
10,1.092647,99.2235,1.212448,96.1069,0.0007940987335200904,60.22
11,1.076274,99.4283,1.21056,96.0687,0.00075025,59.67
12,1.065491,99.5147,1.203514,96.2214,0.0007036649532163624,60.77
13,1.055,99.6094,1.166084,96.8321,0.0006548539886902864,60.02
14,1.044425,99.678,1.161259,96.9084,0.0006043518895634709,60.58
15,1.035546,99.7455,1.169406,96.7176,0.0005527119674021931,59.65
16,1.027822,99.7763,1.142944,97.1756,0.0005005000000000002,60.21
17,1.019593,99.826,1.148212,97.2519,0.00044828803259780724,60.4
18,1.014012,99.8722,1.129813,97.7481,0.0003966481104365292,60.45
19,1.008574,99.8674,1.12096,97.6718,0.00034614601130971383,60.04
20,1.003442,99.8852,1.124826,97.3282,0.0002973350467836379,60.64
21,0.998283,99.8994,1.119647,97.6718,0.00025075000000000016,60.33
22,0.99508,99.9112,1.113832,97.7099,0.00020690126647990976,60.05
23,0.991911,99.9207,1.112459,97.6336,0.0001662692621237505,60.58
24,0.988772,99.9349,1.109564,97.9389,0.0001292991596740417,60.27
25,0.986805,99.9373,1.109298,97.9008,9.639601130971383e-05,60.69
26,0.984627,99.9574,1.109222,97.9008,6.792031080967288e-05,60.23
27,0.983519,99.9586,1.107278,97.9008,4.418404390752082e-05,60.21
28,0.982385,99.968,1.108604,97.9389,2.5447270110570814e-05,59.99
29,0.981655,99.9586,1.107702,97.9008,1.1915273433464061e-05,60.34
30,0.981454,99.9598,1.10761,97.9008,3.736313263547436e-06,59.39
